id;"español                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ";english
index_details;Detalles;Details
index_l1;<b>Modalidad</b>: Presencial;<b>Modality</b>: On-site
index_l2;<b>Fecha</b>: 6, 7 y 8 de Noviembre del 2024;<b>Date</b>: November 6th, 7th and 8th, 2024
index_l3;<b>Lugar</b>: Ruta N<br><small>Medellín, Colombia</small>;<b>Place</b>: Ruta N<br><small>Medellín, Colombia</small>
index_l4;<b>Organiza</b>: Ingeniería Aeroespacial, Universidad de Antioquia.;<b>Hosted by</b>: Aerospace Engineering, Universidad de Antioquia.
index_about;Sobre CICTA X;About CICTA X
index_p1;La ciudad de Medellín ha emergido como un centro industrial líder a lo largo de su historia, mostrando la resiliencia de su gente a través de tiempos difíciles. Forjada por su pasado pero orgullosa de su coraje, Medellín será la ciudad huésped para este evento, imprimiendo el espíritu pujante de una región que ahora apunta a nuevas alturas.;The city of Medellin has emerged as a leading industrial center throughout its history, showing the resilience of its people through difficult times. Forged by its past but proud of its courage, Medellin will be the host city for this event, imprinting the thriving spirit of a region that is now aiming for new heights.
index_p2;El evento cubrirá el trabajo de la red de ciencia y desarrollo de tecnología aeroespacial dentro de la región y más allá, enfocándose en el progreso hacia el enlace con la industria aeroespacial internacional, buscando por sinergias presentes y futuras alrededor del mundo.;The event will cover the work of the aerospace science and technology development network within the region and beyond, focusing on progress towards liaison with the international aerospace industry, looking for present and future synergies around the world.
index_h1;¿Por qué?;Why?
index_p3;Durante la última década Colombia se ha enfocado en el desarrollo de su sector aeroespacial buscando el establecimiento de una base académica e industrial sólida, más allá de los segmentos tradicionales de la industria relacionados con transporte aéreo, actividades MRO y vida pos-mercado.;During the last decade Colombia has focused on the development of its aerospace sector seeking to establish a solid academic and industrial base, beyond the traditional segments of the industry related to air transport, MRO activities and post-market life.
index_p4;Ahora, el enfoque está en una economía de conocimiento, buscando la generación de segmentos enlazados con las etapas tempranas de la cadena de suministro y desarrollo de los productos y servicios del sector aeroespacial.;Now, the focus is on a knowledge economy, seeking the generation of segments linked to the early stages of the supply chain and development of products and services in the aerospace sector.
index_p5;La migración energética se reconoce como un componente clave junto con los nuevos conceptos de operaciones aéreas dentro del ecosistema de movilidad aérea urbana y la re-concepción de sistemas críticos, ingeniería digital y metodologías de desarrollo de sistemas. El acceso espacial, sistemas espaciales, desarrollo de misiones, sostenibilidad espacial y factores humanos son ejes directores de esta edición del CICTA, considerando las oportunidades que se abren en la industria espacial.;Energy migration is recognized as a key component along with new concepts of air operations within the urban air mobility ecosystem and the re-conception of critical systems, digital engineering and system development methodologies. Space access, space systems, mission development, space sustainability and human factors are the driving themes of this edition of CICTA, considering the opportunities opening up in the space industry.
index_supporters;Apoyan;Supporters
index_contact;Contacto;Contact
index_p6;En caso de dudas, sugerencias o comentarios adicionales que desee realizar puede comunicarse con <a href='mailto:grupoastra@udea.edu.co'>grupoastra@udea.edu.co</a>;If you have any questions, suggestions or additional comments, please contact <a href='mailto:grupoastra@udea.edu.co'> grupoastra@udea.edu.co.</a>
